primary_key,企业名称,证书编号,认定时间,有效期
0,上海蜂果网络科技有限公司,GR202131000001,2021/9/24 0:00,三年
1,上海璞康数据科技（集团）有限公司,GR202131000002,2021/9/24 0:00,三年
2,笔遇（上海）信息科技有限公司,GR202131000003,2021/9/24 0:00,三年
3,上海贝泰妮生物科技有限公司,GR202131000004,2021/9/24 0:00,三年
4,上海东振环保工程技术有限公司,GR202131000005,2021/9/24 0:00,三年
5,上海塞伦科机电设备有限公司,GR202131000006,2021/9/24 0:00,三年
6,洛森通风设备（上海）有限公司,GR202131000007,2021/9/24 0:00,三年
7,上海享福信息科技有限公司,GR202131000008,2021/9/24 0:00,三年
8,上海际研生物医药开发有限公司,GR202131000009,2021/9/24 0:00,三年
9,上海福美泰生物科技有限公司,GR202131000010,2021/9/24 0:00,三年
10,上海盈首信息科技有限公司,GR202131000011,2021/9/24 0:00,三年
11,妙顺（上海）生物科技有限公司,GR202131000012,2021/9/24 0:00,三年
12,上海毅镤新能源科技有限公司,GR202131000013,2021/9/24 0:00,三年
13,中建八局科技建设有限公司,GR202131000014,2021/9/24 0:00,三年
14,上海起玄网络科技有限公司,GR202131000015,2021/9/24 0:00,三年
15,上海三下电子科技有限公司,GR202131000016,2021/9/24 0:00,三年
16,上海熠源数据科技有限公司,GR202131000017,2021/9/24 0:00,三年
17,上海悦联生物科技有限公司,GR202131000018,2021/9/24 0:00,三年
18,上海赛飞航空线缆制造有限公司,GR202131000019,2021/9/24 0:00,三年
19,麦格思维特（上海）流体工程有限公司,GR202131000020,2021/9/24 0:00,三年
20,上海析维医疗科技有限公司,GR202131000021,2021/9/24 0:00,三年
21,上海季冠信息技术有限公司,GR202131000022,2021/9/24 0:00,三年
22,上海马勒热系统有限公司,GR202131000023,2021/9/24 0:00,三年
23,上海思禾朴冶网络科技有限公司,GR202131000024,2021/9/24 0:00,三年
24,冷丘（上海）物联网科技有限公司,GR202131000025,2021/9/24 0:00,三年
25,上海知昊电子科技有限公司,GR202131000026,2021/9/24 0:00,三年
26,上海欧亮环保科技有限公司,GR202131000027,2021/9/24 0:00,三年
27,上海艾枫机电设备有限公司,GR202131000028,2021/9/24 0:00,三年
